-----,기본,용산역맛집,https://m.place.naver.com/restaurant/1688894617/home?entry=pll,죠죠 용산점,,2024-08-06 22:17:19,"58,000+","58,000+","57,000+","57,000+","56,000+","56,000+","55,000+","54,000+","53,000+","51,000+","51,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 800개,블 788개,블 773개,블 764개,블 751개,블 736개,블 725개,블 713개,블 690개,블 673개,블 668개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 1,147개","방 1,119개","방 1,087개","방 1,040개","방 1,014개",방 957개,방 922개,방 872개,방 831개,방 783개,방 768개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,용산역맛집,https://m.place.naver.com/restaurant/1330105346/home?entry=pll,양인환대,,2024-08-06 22:17:04,"74,000+","73,000+","71,000+","70,000+","70,000+","69,000+","68,000+","67,000+","67,000+","66,000+","65,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,336개","블 1,335개","블 1,335개","블 1,335개","블 1,335개","블 1,336개","블 1,335개","블 1,329개","블 1,328개","블 1,325개","블 1,324개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 512개,방 512개,방 512개,방 512개,방 512개,방 512개,방 512개,방 512개,방 513개,방 513개,방 513개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수카페,https://m.place.naver.com/restaurant/1409603517,묘사서울,,2024-07-22 18:02:42,"58,000+","58,000+","58,000+","57,000+","57,000+","57,000+","57,000+","56,000+","56,000+","55,000+","55,000+","55,000+","55,000+","54,000+","54,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,026개","블 1,028개","블 1,028개","블 1,027개","블 1,028개","블 1,027개","블 1,025개","블 1,023개","블 1,024개","블 1,025개","블 1,026개","블 1,024개","블 1,022개","블 1,024개","블 1,023개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 942개,방 939개,방 936개,방 933개,방 929개,방 927개,방 927개,방 913개,방 910개,방 910개,방 908개,방 908개,방 908개,방 890개,방 883개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수카페,https://m.place.naver.com/restaurant/1529218208,네모네,,2024-07-22 18:02:02,"87,000+","84,000+","82,000+","80,000+","79,000+","76,000+","73,000+","67,000+","62,000+","57,000+","56,000+","54,000+","53,000+","51,000+","50,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 2,595개","블 2,589개","블 2,584개","블 2,585개","블 2,578개","블 2,574개","블 2,570개","블 2,565개","블 2,564개","블 2,558개","블 2,550개","블 2,537개","블 2,527개","블 2,523개","블 2,521개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 2,075개","방 2,060개","방 2,047개","방 2,033개","방 2,021개","방 1,999개","방 1,985개","방 1,955개","방 1,934개","방 1,917개","방 1,911개","방 1,872개","방 1,843개","방 1,799개","방 1,779개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수점심,https://m.place.naver.com/restaurant/1406405043/home,백옥 성수,,2024-07-15 15:16:52,"7,000+","6,000+","6,000+","5,000+","4,000+","3,000+","3,000+","2,000+","2,000+","2,000+","2,000+","1,000+","1,000+","1,000+","1,000+",600+,500+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 263개,블 241개,블 226개,블 215개,블 209개,블 184개,블 168개,블 124개,블 115개,블 91개,블 80개,블 80개,블 46개,블 27개,블 3개,블 3개,블 1개,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 48개,방 39개,방 36개,방 29개,방 29개,방 26개,방 24개,방 23개,방 21개,방 18개,방 16개,방 11개,방 9개,방 3개,방 1개,방 1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수한식,https://m.place.naver.com/restaurant/1406405043/home,백옥 성수,,2024-07-15 15:16:35,"7,000+","6,000+","6,000+","5,000+","4,000+","3,000+","3,000+","2,000+","2,000+","2,000+","2,000+","1,000+","1,000+","1,000+","1,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 263개,블 241개,블 226개,블 215개,블 209개,블 184개,블 168개,블 124개,블 115개,블 91개,블 80개,블 80개,블 46개,블 27개,블 3개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 48개,방 39개,방 36개,방 29개,방 29개,방 26개,방 24개,방 23개,방 21개,방 18개,방 16개,방 11개,방 9개,방 3개,방 1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-04,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수카페,https://m.place.naver.com/restaurant/1928705869/home?entry=pll,다이버츄,,2024-07-04 12:20:21,"33,000+","30,000+","30,000+","28,000+","28,000+","28,000+","28,000+","27,000+","27,000+","26,000+","26,000+","26,000+","25,000+","25,000+","25,000+","25,000+","24,000+","23,000+","23,000+",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 707개,블 702개,블 699개,블 692개,블 689개,블 680개,블 674개,블 667개,블 656개,블 646개,블 637개,블 627개,블 619개,블 615개,블 611개,블 607개,블 603개,블 596개,블 572개,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 1,011개",방 991개,방 987개,방 968개,방 957개,방 931개,방 924개,방 917개,방 904개,방 889개,방 877개,방 870개,방 863개,방 851개,방 847개,방 841개,방 834개,방 813개,방 785개,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,신용산맛집,https://m.place.naver.com/restaurant/1235024042/home,안남 신용산점,,2024-07-01 11:13:03,"15,000+","14,000+","12,000+","11,000+","10,000+","9,000+","8,000+","8,000+","7,000+","6,000+","6,000+","6,000+","6,000+","6,000+","5,000+","5,000+","5,000+","2,000+","2,000+",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 550개,블 542개,블 525개,블 515개,블 506개,블 486개,블 496개,블 484개,블 474개,블 444개,블 415개,블 375개,블 345개,블 295개,블 274개,블 234개,블 204개,블 144개,블 98개,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 20개,방 18개,방 17개,방 17개,방 17개,방 16개,방 16개,방 15개,방 15개,방 13개,방 13개,방 12개,방 12개,방 11개,방 11개,방 9개,방 9개,방 9개,방 8개,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-26,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,창원맛집,https://m.place.naver.com/restaurant/1957676611/home?entry=pll,거북이동네 창원상남점,,2024-06-26 12:37:25,"18,000+","18,000+","18,000+","18,000+","18,000+","17,000+","17,000+","16,000+","16,000+","16,000+","16,000+","16,000+","16,000+","16,000+","16,000+","16,000+","16,000+","14,000+","13,000+","13,000+",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,508개","블 1,509개","블 1,509개","블 1,511개","블 1,512개","블 1,497개","블 1,477개","블 1,475개","블 1,470개","블 1,456개","블 1,445개","블 1,446개","블 1,432개","블 1,415개","블 1,412개","블 1,402개","블 1,390개","블 1,361개","블 1,323개",방 568개,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 571개,방 572개,방 572개,방 572개,방 572개,방 572개,방 573개,방 574개,방 574개,방 572개,방 572개,방 571개,방 571개,방 570개,방 570개,방 570개,방 570개,방 568개,방 568개,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수우동,https://m.place.naver.com/restaurant/1268725018/home?entry=pl,니카이 우동,,2024-06-24 13:41:56,"29,000+","27,000+","26,000+","24,000+","23,000+","22,000+","22,000+","21,000+","20,000+","20,000+","20,000+","19,000+","19,000+","19,000+","19,000+","19,000+","19,000+","16,000+","15,000+","14,000+",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,187개","블 1,169개","블 1,157개","블 1,124개","블 1,118개","블 1,108개","블 1,096개","블 1,072개","블 1,050개","블 1,037개","블 1,030개","블 1,028개","블 1,004개",블 983개,블 972개,블 945개,블 925개,블 898개,블 826개,블 792개,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 1,528개","방 1,513개","방 1,506개","방 1,493개","방 1,485개","방 1,468개","방 1,462개","방 1,450개","방 1,446개","방 1,432개","방 1,424개","방 1,410개","방 1,399개","방 1,375개","방 1,374개","방 1,365개","방 1,361개","방 1,342개","방 1,318개","방 1,283개",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-21,,,,,,,,,,,,,,,,,,,,,,,
